"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
Knoxville Utilities Board,TN,Publicly Owned," 160,792 "," 154,950 "," 2,350,687 ",6.59
Lenoir City City of,TN,Publicly Owned," 41,577 "," 45,325 "," 722,102 ",6.28
Loudon Utilities Board,TN,Publicly Owned," 7,532 "," 8,175 "," 119,776 ",6.83
Maryville Utilities,TN,Publicly Owned," 16,199 "," 14,388 "," 227,805 ",6.32
McMinnville Electric System,TN,Publicly Owned," 5,951 "," 4,901 "," 77,671 ",6.31
Memphis City of,TN,Publicly Owned," 353,721 "," 332,652 "," 5,155,614 ",6.45
Meriwether Lewis Electric Coop,TN,Cooperative," 28,187 "," 28,355 "," 393,028 ",7.21
Middle Tennessee E M C,TN,Cooperative," 130,394 "," 145,142 "," 2,297,222 ",6.32
"Mountain Electric Coop, Inc",TN,Cooperative," 12,043 "," 9,483 "," 137,628 ",6.89
Nashville Electric Service,TN,Publicly Owned," 292,811 "," 295,661 "," 4,393,945 ",6.73
Pickwick Electric Coop,TN,Cooperative," 15,803 "," 15,615 "," 230,523 ",6.77
Plateau Electric Cooperative,TN,Cooperative," 13,610 "," 11,299 "," 154,291 ",7.32
Powell Valley Electric Coop,TN,Cooperative," 17,491 "," 15,716 "," 226,422 ",6.94
Sequachee Valley Electric Coop,TN,Cooperative," 27,250 "," 26,621 "," 391,480 ",6.80
Sevier County Electric System,TN,Publicly Owned," 28,287 "," 26,712 "," 417,851 ",6.39
South Kentucky Rural E C C,TN,Cooperative, 156 , 81 ," 1,222 ",6.63
Southwest Tennessee E M C,TN,Cooperative," 38,542 "," 45,235 "," 660,025 ",6.85
Tennessee Valley Electric Coop,TN,Cooperative," 15,222 "," 14,689 "," 201,666 ",7.28
Tri-County Elec Member Corp,TN,Cooperative," 20,132 "," 21,862 "," 312,547 ",6.99
Tri-State Electric Member Corp,TN,Cooperative," 2,587 "," 2,489 "," 31,530 ",7.89
Tullahoma Board-Public Utils,TN,Publicly Owned," 8,229 "," 7,540 "," 121,181 ",6.22
Upper Cumberland E M C,TN,Cooperative," 38,161 "," 40,490 "," 572,578 ",7.07
Volunteer Electric Coop,TN,Cooperative," 84,615 "," 82,630 "," 1,224,220 ",6.75
Weakley County Mun Elec Sys,TN,Publicly Owned," 16,381 "," 16,804 "," 268,103 ",6.27
ACN Energy Inc,TX,Power Marketer," 15,534 "," 29,341 "," 252,714 ",11.61
Austin Energy,TX,Publicly Owned," 321,841 "," 339,591 "," 3,724,884 ",9.12
Bailey County Elec Coop Assn,TX,Cooperative," 2,546 "," 2,021 "," 22,816 ",8.86
"Bandera Electric Coop, Inc",TX,Cooperative," 23,801 "," 27,969 "," 331,962 ",8.43
"Bartlett Electric Coop, Inc",TX,Cooperative," 7,524 "," 9,480 "," 112,259 ",8.44
"Belfalls Electric Coop, Inc",TX,Cooperative," 3,832 "," 4,782 "," 52,743 ",9.07
Bellville City of,TX,Publicly Owned," 1,813 "," 2,002 "," 24,110 ",8.30
"Big Country Electric Coop, Inc",TX,Cooperative," 7,344 "," 6,762 "," 59,756 ",11.32
"Bluebonnett Electric Coop, Inc",TX,Cooperative," 60,721 "," 68,992 "," 911,788 ",7.57
"Bowie-Cass Electric Coop, Inc",TX,Cooperative," 30,559 "," 34,301 "," 450,771 ",7.61
Bridgeport City of,TX,Publicly Owned," 1,637 "," 1,802 "," 21,209 ",8.50
Brownsville Public Utilities Board,TX,Publicly Owned," 33,594 "," 34,878 "," 438,013 ",7.96
Cap Rock Energy Corporation,TX,Investor Owned," 27,294 "," 31,123 "," 258,251 ",12.05
"Central Texas Elec Coop, Inc",TX,Cooperative," 28,913 "," 27,824 "," 313,688 ",8.87
Cherokee County Elec Coop Assn,TX,Cooperative," 16,102 "," 20,717 "," 229,675 ",9.02
Cirro Corporation,TX,Power Marketer," 4,905 "," 5,491 "," 65,025 ",8.44
City of Bartlett,TX,Publicly Owned, 620 , 735 ," 6,490 ",11.33
City of Bastrop,TX,Publicly Owned," 1,796 "," 1,975 "," 23,118 ",8.54
City of Boerne,TX,Publicly Owned," 3,042 "," 2,912 "," 44,230 ",6.58
City of Bowie,TX,Publicly Owned," 2,302 "," 2,811 "," 24,566 ",11.44
City of Brady,TX,Publicly Owned," 2,447 "," 2,447 "," 25,768 ",9.50
City of Brenham,TX,Publicly Owned," 4,852 "," 5,437 "," 70,366 ",7.73
City of Brownfield,TX,Publicly Owned," 3,353 "," 2,563 "," 32,364 ",7.92
City of Bryan,TX,Publicly Owned," 39,116 "," 40,241 "," 491,099 ",8.19
City of Burnet,TX,Publicly Owned," 1,725 "," 1,901 "," 19,635 ",9.68
City of Caldwell,TX,Publicly Owned," 1,469 "," 1,709 "," 18,606 ",9.19
City of Castroville,TX,Publicly Owned," 1,112 "," 1,115 "," 15,939 ",7.00
City of Coleman,TX,Publicly Owned," 2,207 "," 2,172 "," 20,095 ",10.81
City of College Station,TX,Publicly Owned," 27,358 "," 26,579 "," 359,753 ",7.39
City of Denton,TX,Publicly Owned," 32,478 "," 38,746 "," 414,411 ",9.35
City of Electra,TX,Publicly Owned," 1,268 "," 1,257 "," 17,987 ",6.99
City of Flatonia,TX,Publicly Owned, 761 , 792 ," 9,922 ",7.98
City of Floresville,TX,Publicly Owned," 10,107 "," 13,765 "," 168,829 ",8.15
City of Floydada,TX,Publicly Owned," 1,134 ", 826 ," 10,491 ",7.87
City of Fredericksburg,TX,Publicly Owned," 4,172 "," 3,288 "," 48,718 ",6.75
City of Garland,TX,Publicly Owned," 61,640 "," 87,126 "," 969,907 ",8.98
City of Giddings,TX,Publicly Owned," 1,595 "," 1,611 "," 22,676 ",7.10
City of Goldsmith,TX,Publicly Owned, 116 , 124 ," 1,002 ",12.38
City of Goldthwaite,TX,Publicly Owned, 884 , 807 ," 9,354 ",8.63
City of Gonzales,TX,Publicly Owned," 2,376 "," 2,265 "," 32,383 ",6.99
City of Granbury,TX,Publicly Owned," 2,183 "," 2,150 "," 27,084 ",7.94
City of Hallettsville,TX,Publicly Owned," 1,217 "," 1,119 "," 13,367 ",8.37
City of Hearne,TX,Publicly Owned," 2,016 "," 2,377 "," 21,730 ",10.94
City of Hempstead,TX,Publicly Owned," 1,847 "," 1,911 "," 25,832 ",7.40
City of Hondo,TX,Publicly Owned," 2,363 "," 2,926 "," 28,862 ",10.14
City of Jasper,TX,Publicly Owned," 3,452 "," 4,446 "," 45,022 ",9.88
City of La Grange,TX,Publicly Owned," 2,338 "," 2,176 "," 31,858 ",6.83
City of Lexington,TX,Publicly Owned, 528 , 848 ," 8,854 ",9.58
City of Liberty,TX,Publicly Owned," 3,107 "," 3,240 "," 39,927 ",8.11
City of Livingston,TX,Publicly Owned," 2,345 "," 2,631 "," 29,146 ",9.03
City of Llano,TX,Publicly Owned," 1,524 "," 1,629 "," 19,351 ",8.42
City of Lockhart,TX,Publicly Owned," 4,287 "," 4,367 "," 55,698 ",7.84
City of Lubbock,TX,Publicly Owned," 57,485 "," 42,939 "," 611,452 ",7.02
City of Luling,TX,Publicly Owned," 2,006 "," 2,178 "," 25,377 ",8.58
City of Mason,TX,Publicly Owned," 1,154 ", 991 ," 11,739 ",8.44
City of Moulton,TX,Publicly Owned, 593 , 666 ," 5,766 ",11.55
City of New Braunfels,TX,Publicly Owned," 19,945 "," 23,601 "," 305,887 ",7.72
City of Robstown,TX,Publicly Owned," 4,553 "," 5,006 "," 51,622 ",9.70
City of San Augustine,TX,Publicly Owned, 827 , 925 ," 9,692 ",9.54
City of San Marcos,TX,Publicly Owned," 15,136 "," 12,111 "," 175,262 ",6.91
City of San Saba,TX,Publicly Owned," 1,692 "," 1,336 "," 16,842 ",7.93
City of Sanger,TX,Publicly Owned," 1,410 "," 1,833 "," 18,997 ",9.65
City of Schulenburg,TX,Publicly Owned," 1,371 "," 1,491 "," 15,885 ",9.39
City of Seymour,TX,Publicly Owned," 1,284 "," 1,318 "," 14,561 ",9.05
City of Shiner,TX,Publicly Owned," 1,082 "," 1,025 "," 12,769 ",8.03
City of Tulia,TX,Publicly Owned," 1,872 "," 1,211 "," 15,593 ",7.77
City of Waelder,TX,Publicly Owned, 418 , 398 ," 4,568 ",8.71
City of Weimar,TX,Publicly Owned, 941 ," 1,143 "," 11,337 ",10.08
City of Whitesboro,TX,Publicly Owned," 1,629 "," 1,659 "," 19,066 ",8.70
City of Yoakum,TX,Publicly Owned," 2,496 "," 2,625 "," 28,756 ",9.13
"Coleman County Elec Coop, Inc",TX,Cooperative," 6,401 "," 5,153 "," 41,947 ",12.28
Comanche County Elec Coop Assn,TX,Cooperative," 5,937 "," 7,984 "," 85,584 ",9.33
Concho Valley Elec Coop Inc,TX,Cooperative," 7,743 "," 8,044 "," 69,708 ",11.54
Cooke County Elec Coop Assn,TX,Cooperative," 11,726 "," 13,936 "," 166,620 ",8.36
CPL Retail Energy LP,TX,Power Marketer," 509,340 "," 749,991 "," 7,103,373 ",10.56
Cuero City of,TX,Publicly Owned," 2,912 "," 2,426 "," 40,690 ",5.96
"Deaf Smith Electric Coop, Inc",TX,Cooperative," 4,813 "," 3,416 "," 43,330 ",7.88
Deep East Texas Elec Coop Inc,TX,Cooperative," 34,747 "," 35,192 "," 478,010 ",7.36
"Denton County Elec Coop, Inc",TX,Cooperative," 88,797 "," 144,194 "," 1,545,000 ",9.33
El Paso Electric Company,TX,Investor Owned," 219,512 "," 153,965 "," 1,439,232 ",10.70
Entergy Gulf States Inc,TX,Investor Owned," 320,028 "," 434,979 "," 5,120,432 ",8.49
Entergy Solutions Ltd,TX,Power Marketer," 38,743 "," 59,690 "," 755,949 ",7.90
Fannin County Electric Coop,TX,Cooperative," 7,744 "," 10,089 "," 105,835 ",9.53
"Farmers Electric Coop, Inc",TX,Cooperative," 33,702 "," 47,974 "," 564,541 ",8.50
Farmersville City of,TX,Publicly Owned," 1,237 "," 1,244 "," 14,655 ",8.49
"Fayette Electric Coop, Inc",TX,Cooperative," 10,411 "," 10,566 "," 114,851 ",9.20
Fire Fly Electricity LLC,TX,Power Marketer, 499 , 266 ," 2,712 ",9.81
First Choice Power,TX,Power Marketer," 194,996 "," 293,189 "," 2,855,472 ",10.27
Fort Belknap Electric Coop Inc,TX,Cooperative," 3,718 "," 3,650 "," 39,839 ",9.16
Georgetown City of,TX,Publicly Owned," 13,761 "," 14,532 "," 179,388 ",8.10
Gexa Energy,TX,Power Marketer," 21,980 "," 25,281 "," 278,229 ",9.09
"Grayson-Collin Elec Coop, Inc",TX,Cooperative," 23,538 "," 35,949 "," 418,536 ",8.59
Green Mountain Energy Co,TX,Power Marketer," 56,490 "," 54,005 "," 772,019 ",7.00
"Greenbelt Electric Coop, Inc",TX,Cooperative," 3,135 "," 2,512 "," 19,403 ",12.95
"Greenville, City of",TX,Publicly Owned," 10,474 "," 12,514 "," 131,356 ",9.53
Guadalupe Valley Elec Coop Inc,TX,Cooperative," 48,419 "," 55,026 "," 728,703 ",7.55
Hamilton County Elec Coop Assn,TX,Cooperative," 13,840 "," 14,673 "," 151,265 ",9.70
Harmon Electric Assn Inc,TX,Cooperative, 262 , 224 ," 1,248 ",17.95
Hemphill City of,TX,Publicly Owned, 503 , 530 ," 6,000 ",8.83
"HILCO Electric Cooperative, Inc.",TX,Cooperative," 14,551 "," 22,763 "," 240,477 ",9.47
Hino Electric Power Company,TX,Power Marketer, 290 , 36 , 535 ,6.73
Houston County Elec Coop Inc,TX,Cooperative," 16,906 "," 18,037 "," 173,230 ",10.41
J-A-C Electric Coop Inc,TX,Cooperative," 3,783 "," 3,954 "," 47,788 ",8.27
"Jackson Electric Coop, Inc",TX,Cooperative," 11,611 "," 10,941 "," 126,792 ",8.63
"Jasper-Newton Elec Coop, Inc",TX,Cooperative," 18,825 "," 22,562 "," 279,293 ",8.08
Just Energy,TX,Power Marketer, 87 , 58 , 609 ,9.52
Karnes Electric Coop Inc,TX,Cooperative," 12,774 "," 12,110 "," 145,552 ",8.32
Kerrville Public Utility Board,TX,Publicly Owned," 16,133 "," 17,648 "," 233,502 ",7.56
Kirbyville Light & Power Co,TX,Publicly Owned, 763 ," 1,229 "," 13,000 ",9.45
Lamar County Elec Coop Assn,TX,Cooperative," 10,116 "," 12,311 "," 127,362 ",9.67
"Lamb County Electric Coop, Inc",TX,Cooperative," 3,038 "," 2,811 "," 30,200 ",9.31
Lampasas City of,TX,Publicly Owned," 3,066 "," 3,389 "," 41,277 ",8.21
"Lea County Electric Coop, Inc",TX,Cooperative," 1,311 ", 983 ," 15,872 ",6.19
"Lighthouse Electric Coop, Inc",TX,Cooperative," 3,579 "," 2,840 "," 25,211 ",11.26
"Lyntegar Electric Coop, Inc",TX,Cooperative," 7,223 "," 6,209 "," 75,185 ",8.26
Magic Valley Electric Coop Inc,TX,Cooperative," 63,750 "," 69,890 "," 848,857 ",8.23
"McLennan County Elec Coop, Inc",TX,Cooperative," 10,987 "," 15,455 "," 183,560 ",8.42
"Medina Electric Coop, Inc",TX,Cooperative," 21,512 "," 23,070 "," 240,503 ",9.59
Mid-South Electric Coop Assn,TX,Cooperative," 18,272 "," 24,099 "," 268,879 ",8.96
Mutual Energy SWEPCO,TX,Power Marketer," 63,846 "," 5,390 "," 55,770 ",9.66
"Navarro County Elec Coop, Inc",TX,Cooperative," 11,756 "," 15,941 "," 187,761 ",8.49
"Navasota Valley Elec Coop, Inc",TX,Cooperative," 14,661 "," 15,346 "," 166,000 ",9.24
Newton City of,TX,Publicly Owned, 866 ," 1,070 "," 10,690 ",10.01
North Plains Electric Coop Inc,TX,Cooperative," 2,557 "," 2,638 "," 23,947 ",11.02
"Nueces Electric Coop, Inc",TX,Cooperative," 11,096 "," 13,072 "," 141,534 ",9.24
"Panola-Harrison Elec Coop, Inc",TX,Cooperative," 8,048 "," 7,721 "," 122,405 ",6.31
"Pedernales Electric Coop, Inc",TX,Cooperative," 165,953 "," 209,530 "," 2,575,555 ",8.14
POLR Power,TX,Power Marketer," 4,494 "," 5,419 "," 69,669 ",7.78
Reliant Energy Retail Services,TX,Power Marketer," 1,523,819 "," 2,330,554 "," 22,790,440 ",10.23
"Republic Power, L.P.",TX,Power Marketer," 121,665 "," 122,979 "," 1,288,119 ",9.55
"Rio Grande Electric Coop, Inc",TX,Cooperative," 6,305 "," 7,508 "," 58,947 ",12.74
"Rita Blanca Electric Coop, Inc",TX,Cooperative," 2,458 "," 1,977 "," 23,959 ",8.25
"Rusk County Electric Coop, Inc",TX,Cooperative," 16,639 "," 20,283 "," 249,597 ",8.13
Sam Houston Electric Coop Inc,TX,Cooperative," 57,396 "," 68,818 "," 837,705 ",8.22
San Antonio City of,TX,Publicly Owned," 533,320 "," 591,823 "," 7,388,063 ",8.01
"San Bernard Electric Coop, Inc",TX,Cooperative," 19,979 "," 26,616 "," 282,130 ",9.43
San Patricio Electric Coop Inc,TX,Cooperative," 6,890 "," 9,495 "," 94,348 ",10.06
Seguin City of,TX,Publicly Owned," 7,404 "," 5,817 "," 82,207 ",7.08
Sharyland Utilities LP,TX,Investor Owned, 741 , 361 ," 15,657 ",2.31
Smithville City of,TX,Publicly Owned," 1,742 "," 1,898 "," 21,150 ",8.97
South Plains Electric Coop Inc,TX,Cooperative," 28,063 "," 23,114 "," 307,507 ",7.52
Southwest Arkansas E C C,TX,Cooperative, 872 ," 1,186 "," 18,262 ",6.49
Southwest Rural Elec Assn Inc,TX,Cooperative," 2,094 "," 2,369 "," 25,487 ",9.29
"Southwest Texas Elec Coop, Inc",TX,Cooperative," 4,546 "," 3,418 "," 26,492 ",12.90
Southwestern Electric Coop Inc,TX,Cooperative, 29 , 41 , 449 ,9.13
Southwestern Electric Power Co,TX,Investor Owned," 134,097 "," 134,781 "," 2,005,565 ",6.72
Southwestern Public Service Co,TX,Investor Owned," 214,722 "," 150,336 "," 2,347,179 ",6.40
"Spark Energy, LP",TX,Power Marketer, 356 , 361 ," 4,005 ",9.01
StarEn Power,TX,Power Marketer, 68 , 341 ," 3,528 ",9.67
Starlight Electric,TX,Power Marketer, 16 , 4 , 33 ,12.12
"Swisher Electric Coop, Inc",TX,Cooperative," 3,259 "," 2,020 "," 22,694 ",8.90
Tara Energy Inc,TX,Power Marketer, 237 , 137 ," 1,711 ",8.01
Taylor Electric Coop Inc,TX,Cooperative," 10,411 "," 12,617 "," 113,034 ",11.16
Timpson City of,TX,Publicly Owned, 527 , 461 ," 6,217 ",7.42
"Tri-County Electric Coop, Inc",TX,Cooperative, 4 , 12 , 137 ,8.76
"Tri-County Electric Coop, Inc",TX,Cooperative," 51,804 "," 78,394 "," 916,306 ",8.56
TriEagle Energy LLC,TX,Power Marketer, 1 , 2 , 18 ,11.11
Trinity Valley Elec Coop Inc,TX,Cooperative," 53,764 "," 66,886 "," 867,719 ",7.71
TXU Energy Retail Co LP,TX,Power Marketer," 2,217,008 "," 3,285,574 "," 35,535,009 ",9.25
TXU SESCO Energy Serv Co,TX,Power Marketer," 35,606 "," 28,275 "," 509,518 ",5.55
United Electric Coop Service Inc,TX,Cooperative," 57,845 "," 77,896 "," 923,109 ",8.44
Upshur Rural Elec Coop Corp,TX,Cooperative," 35,100 "," 36,126 "," 548,833 ",6.58
Utility Choice Electric,TX,Power Marketer," 2,074 "," 2,333 "," 28,283 ",8.25
"Victoria Electric Coop, Inc",TX,Cooperative," 16,399 "," 17,079 "," 234,726 ",7.28
Weatherford Mun Utility System,TX,Publicly Owned," 10,116 "," 12,617 "," 131,884 ",9.57
"Wharton County Elec Coop, Inc",TX,Cooperative," 4,679 "," 5,492 "," 63,867 ",8.60
Wise Electric Coop Inc,TX,Cooperative," 13,660 "," 18,682 "," 228,681 ",8.17
"Wood County Electric Coop, Inc",TX,Cooperative," 25,408 "," 29,188 "," 363,396 ",8.03
"WTU Retail Energy, L.P.",TX,Power Marketer," 115,933 "," 163,197 "," 1,414,638 ",11.54
Beaver City Corporation,UT,Publicly Owned," 1,029 ", 654 ," 8,484 ",7.71
Bountiful City City of,UT,Publicly Owned," 14,215 "," 10,174 "," 143,931 ",7.07
"Bridger Valley Elec Assn, Inc",UT,Cooperative," 1,617 ", 631 ," 5,481 ",11.51
Brigham City Corporation,UT,Publicly Owned," 6,287 "," 3,479 "," 50,246 ",6.92
City of Blanding,UT,Publicly Owned," 1,298 ", 826 ," 10,000 ",8.26
City of Enterprise,UT,Publicly Owned, 442 , 299 ," 4,100 ",7.29
City of Helper,UT,Publicly Owned," 1,020 ", 216 ," 7,496 ",2.88
City of Logan,UT,Publicly Owned," 14,321 "," 7,638 "," 83,802 ",9.11
City of Manti,UT,Publicly Owned," 1,094 ", 585 ," 9,412 ",6.22
City of Monroe,UT,Publicly Owned, 885 , 428 ," 6,046 ",7.08
City of Morgan City,UT,Publicly Owned," 1,083 ", 716 ," 8,461 ",8.46
City of Mt Pleasant,UT,Publicly Owned," 1,560 ", 956 ," 10,398 ",9.19
City of Murray,UT,Publicly Owned," 13,059 "," 8,275 "," 111,578 ",7.42
City of Santa Clara,UT,Publicly Owned," 1,586 "," 1,861 "," 22,749 ",8.18
City of Springville,UT,Publicly Owned," 7,599 "," 6,473 "," 61,400 ",10.54
City of St George,UT,Publicly Owned," 10,902 "," 16,458 "," 234,584 ",7.02
City of Washington,UT,Publicly Owned," 4,980 "," 2,346 "," 32,676 ",7.18
"Dixie Escalante R E A, Inc",UT,Cooperative," 6,288 "," 6,018 "," 110,732 ",5.43
"Empire Electric Assn, Inc",UT,Cooperative, 894 , 659 ," 6,634 ",9.93
Ephraim City of,UT,Publicly Owned," 1,395 "," 1,061 "," 12,530 ",8.47
Fairview City Corporation,UT,Publicly Owned, 675 , 438 ," 4,916 ",8.91
Fillmore City Corporation,UT,Publicly Owned, 837 , 581 ," 6,460 ",8.99
"Flowell Electric Assn, Inc",UT,Cooperative, 168 , 155 ," 2,247 ",6.90
"Garkane Energy Coop, Inc",UT,Cooperative," 6,757 "," 3,973 "," 49,380 ",8.05
Heber Light & Power Company,UT,Publicly Owned," 6,139 "," 4,433 "," 51,446 ",8.62
Hurricane Power Committee,UT,Publicly Owned," 4,356 "," 2,708 "," 35,860 ",7.55
Hyrum City Corporation,UT,Publicly Owned," 2,068 "," 1,356 "," 17,339 ",7.82
Kanab City Corporation,UT,Publicly Owned," 1,027 ", 770 ," 8,987 ",8.57
Kanosh Town Corporation,UT,Publicly Owned, 230 , 119 ," 1,885 ",6.31
Kaysville City Corporation,UT,Publicly Owned," 6,219 "," 5,629 "," 67,438 ",8.35
Lehi City Corporation,UT,Publicly Owned," 6,580 "," 4,840 "," 54,881 ",8.82
Levan Town Corporation,UT,Publicly Owned, 291 , 187 ," 2,697 ",6.93
Meadow Town Corporation,UT,Publicly Owned, 148 , 61 , 909 ,6.71
Moon Lake Electric Assn Inc,UT,Cooperative," 9,748 "," 5,586 "," 85,689 ",6.52
"Mt Wheeler Power, Inc",UT,Cooperative, 202 , 136 ," 1,675 ",8.12
Navajo Tribal Utility Auth,UT,Publicly Owned, 591 , 240 ," 3,385 ",7.09
Nephi City Corporation,UT,Publicly Owned," 1,623 "," 1,003 "," 16,970 ",5.91
PacifiCorp,UT,Investor Owned," 621,547 "," 360,133 "," 5,407,852 ",6.66
Parowan City Corporation,UT,Publicly Owned," 1,173 ", 886 ," 8,762 ",10.11
Payson City Corporation,UT,Publicly Owned," 4,899 "," 3,543 "," 38,000 ",9.32
Price Municipal Corporation,UT,Publicly Owned," 3,312 "," 1,564 "," 21,815 ",7.17
Provo City Corporation,UT,Publicly Owned," 28,654 "," 16,257 "," 218,306 ",7.45
Raft River Rural Elec Coop Inc,UT,Cooperative," 1,555 ", 301 ," 3,886 ",7.75
Salem City Corporation,UT,Publicly Owned," 1,359 "," 1,010 "," 15,122 ",6.68
Spanish Fork City Corporation,UT,Publicly Owned," 7,076 "," 4,566 "," 55,921 ",8.17
Spring City Corporation,UT,Publicly Owned, 420 , 277 ," 2,415 ",11.47
Strawberry Electric Serv Dist,UT,Publicly Owned," 2,492 "," 3,047 "," 31,180 ",9.77
Town of Holden,UT,Publicly Owned, 204 , 138 ," 1,591 ",8.67
Town of Oak City,UT,Publicly Owned, 241 , 163 ," 2,340 ",6.97
Town of Paragonah,UT,Publicly Owned, 230 , 155 ," 1,448 ",10.70
Wells Rural Electric Co,UT,Cooperative, 526 , 426 ," 4,865 ",8.76
"Barton Village, Inc",VT,Publicly Owned," 1,874 "," 1,445 "," 10,753 ",13.44
Burlington City of,VT,Publicly Owned," 16,022 "," 8,982 "," 94,247 ",9.53
Central Vermont Pub Serv Corp,VT,Investor Owned," 127,880 "," 125,401 "," 948,278 ",13.22
Green Mountain Power Corp,VT,Investor Owned," 75,532 "," 74,934 "," 581,047 ",12.90
Hyde Park Village of,VT,Publicly Owned," 1,071 ", 887 ," 8,379 ",10.59
Jacksonville Village of,VT,Publicly Owned, 537 , 398 ," 3,554 ",11.20
Johnson Village of,VT,Publicly Owned, 703 , 447 ," 5,554 ",8.05
Lyndonville Village of,VT,Publicly Owned," 4,507 "," 3,039 "," 33,038 ",9.20
Omya Inc,VT,Investor Owned, 817 , 514 ," 6,231 ",8.25
Orleans Village of,VT,Publicly Owned, 567 , 385 ," 4,116 ",9.35
Rochester Electric Lt & Pwr Co,VT,Investor Owned, 806 , 638 ," 4,399 ",14.50
Town of Hardwick,VT,Publicly Owned," 3,639 "," 2,866 "," 23,071 ",12.42
Town of Readsboro,VT,Publicly Owned, 266 , 145 ," 1,698 ",8.54
Town of Stowe,VT,Publicly Owned," 2,899 "," 2,468 "," 20,804 ",11.86
"Vermont Electric Coop, Inc",VT,Cooperative," 15,759 "," 16,759 "," 121,364 ",13.81
Village of Enosburg Falls,VT,Publicly Owned," 1,376 "," 1,670 "," 12,397 ",13.47
Village of Ludlow,VT,Publicly Owned," 2,908 "," 1,504 "," 16,646 ",9.04
Village of Morrisville,VT,Publicly Owned," 3,048 "," 2,251 "," 20,554 ",10.95
Village of Northfield,VT,Publicly Owned," 1,642 "," 1,289 "," 11,042 ",11.67
Village of Swanton,VT,Publicly Owned," 2,970 "," 2,460 "," 24,885 ",9.89
Washington Electric Coop Inc,VT,Cooperative," 9,491 "," 9,384 "," 59,332 ",15.82
A & N Electric Coop,VA,Cooperative," 9,888 "," 10,945 "," 114,527 ",9.56
Appalachian Power Co,VA,Investor Owned," 423,423 "," 335,322 "," 6,160,504 ",5.44
BARC Electric Coop Inc,VA,Cooperative," 11,164 "," 11,717 "," 114,313 ",10.25
Bristol Virginia Utilities,VA,Publicly Owned," 13,433 "," 10,582 "," 195,618 ",5.41
Central Virginia Electric Coop,VA,Cooperative," 27,784 "," 33,294 "," 410,157 ",8.12
City of Bedford,VA,Publicly Owned," 5,609 "," 5,313 "," 84,014 ",6.32
City of Danville,VA,Publicly Owned," 37,221 "," 28,339 "," 489,786 ",5.79
City of Franklin,VA,Publicly Owned," 4,547 "," 5,211 "," 67,475 ",7.72
City of Manassas,VA,Publicly Owned," 12,422 "," 13,509 "," 180,508 ",7.48
City of Martinsville,VA,Publicly Owned," 7,679 "," 5,687 "," 94,179 ",6.04
City of Radford,VA,Publicly Owned," 6,229 "," 4,645 "," 76,492 ",6.07
City of Salem,VA,Publicly Owned," 10,848 "," 7,209 "," 130,241 ",5.54
Community Electric Coop,VA,Cooperative," 8,228 "," 11,810 "," 138,549 ",8.52
Craig-Botetourt Electric Coop,VA,Cooperative," 5,609 "," 5,375 "," 63,430 ",8.47
Delmarva Power & Light Company,VA,Investor Owned," 17,961 "," 16,644 "," 178,238 ",9.34
Harrisonburg City of,VA,Publicly Owned," 14,051 "," 11,499 "," 170,044 ",6.76
Kentucky Utilities Co,VA,Investor Owned," 25,332 "," 20,859 "," 406,905 ",5.13
"Mecklenburg Electric Coop, Inc",VA,Cooperative," 28,207 "," 29,957 "," 325,546 ",9.20
"Northern Neck Elec Coop, Inc",VA,Cooperative," 15,387 "," 18,520 "," 188,457 ",9.83
Northern Virginia Elec Coop,VA,Cooperative," 106,773 "," 160,339 "," 1,611,894 ",9.95
Potomac Edison Co,VA,Investor Owned," 76,587 "," 75,057 "," 1,142,020 ",6.57
Powell Valley Electric Coop,VA,Cooperative," 6,405 "," 6,021 "," 87,396 ",6.89
Prince George Electric Coop,VA,Cooperative," 8,935 "," 12,468 "," 144,994 ",8.60
Rappahannock Electric Coop,VA,Cooperative," 79,324 "," 119,184 "," 1,232,673 ",9.67
Shenandoah Valley Elec Coop,VA,Cooperative," 25,975 "," 34,780 "," 406,418 ",8.56
"Southside Electric Coop, Inc",VA,Cooperative," 46,656 "," 63,575 "," 607,168 ",10.47
Town of Blackstone,VA,Publicly Owned," 1,644 "," 1,471 "," 18,974 ",7.75
Town of Culpeper,VA,Publicly Owned," 2,498 "," 1,945 "," 23,279 ",8.36
Town of Elkton,VA,Publicly Owned, 862 , 770 ," 9,447 ",8.15
Town of Front Royal,VA,Publicly Owned," 6,200 "," 5,849 "," 82,157 ",7.12
Town of Richlands,VA,Publicly Owned," 2,108 "," 1,778 "," 31,618 ",5.62
Town of Wakefield,VA,Publicly Owned, 442 , 648 ," 8,960 ",7.23
Virginia Electric & Power Co,VA,Investor Owned," 1,867,865 "," 2,097,347 "," 25,792,476 ",8.13
Virginia Tech Electric Service,VA,Publicly Owned," 4,535 "," 3,290 "," 58,098 ",5.66
"Alder Mutual Light Co, Inc",WA,Cooperative, 243 , 205 ," 3,130 ",6.55
Avista Corp,WA,Investor Owned," 190,989 "," 140,383 "," 2,263,661 ",6.20
Benton Rural Electric Assn,WA,Cooperative," 10,756 "," 14,957 "," 193,088 ",7.75
